,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,1006,0,0,1,0,0,1,0,0,1
true_1,0,1131,0,0,0,1,0,0,1,0
true_2,1,1,1020,1,0,0,0,3,3,1
true_3,0,0,1,995,0,2,0,0,1,1
true_4,0,1,0,0,959,0,2,1,0,1
true_5,0,0,0,3,0,885,5,0,2,1
true_6,2,1,1,0,0,1,975,0,3,0
true_7,0,3,0,0,0,0,0,1089,0,1
true_8,0,2,0,0,1,0,0,0,926,3
true_9,1,0,0,0,2,0,0,1,1,955
